Index, Size, ZScore
0, 18000, 0.00
1, 22600, 0.00
2, 18586, 0.00
3, 9913, 0.00
4, 29590, 0.00
5, 8430, 0.00
6, 9598, 0.00
7, 8516, 0.00
8, 16446, 0.00
9, 12449, 0.00
10, 10128, -0.80
11, 19246, 0.66
12, 9965, -0.84
13, 17093, 0.35
14, 14886, -0.03
15, 16406, 0.24
16, 10960, -0.73
17, 19114, 0.76
18, 328, -2.68
19, 13956, -0.06
20, 4219, -1.64
21, 3926, -1.55
22, 2198, -1.71
23, 11555, -0.20
24, 5474, -1.10
25, 10920, -0.24
26, 4938, -1.15
27, 4738, -1.13
28, 13214, 0.19
29, 5602, -0.98
30, 670, -1.70
31, 5163, -0.90
32, 5131, -0.85
33, 5731, -0.70
34, 4722, -0.83
35, 4450, -0.89
36, 4721, -0.81
37, 5313, -0.66
38, 9210, 0.08
39, 13190, 0.88
40, 1781, -1.28
41, 3550, -0.87
42, 6697, -0.21
43, 7941, 0.05
44, 10396, 0.64
45, 7885, 0.15
46, 12199, 1.23
47, 10426, 0.80
48, 18212, 3.08
49, 5357, -0.47
50, 6769, -0.06
51, 13755, 1.72
52, 10443, 0.76
53, 18379, 2.72
54, 5960, -0.45
55, 9206, 0.30
56, 12544, 1.09
57, 6874, -0.29
58, 1938, -1.45
59, 19897, 2.79
60, 4279, -0.83
61, 11912, 0.75
62, 9631, 0.21
63, 11769, 0.65
64, 8205, -0.17
65, 6213, -0.63
66, 7677, -0.33
67, 14794, 1.25
68, 8005, -0.35
69, 8407, -0.25
70, 9883, 0.12
71, 7799, -0.44
72, 8227, -0.38
73, 8068, -0.44
74, 9914, 0.02
75, 10524, 0.17
76, 12289, 0.59
77, 2799, -1.76
78, 8105, -0.37
79, 8559, -0.19
80, 15293, 1.52
81, 8899, -0.20
82, 9432, -0.03
83, 15937, 1.65
84, 8122, -0.35
85, 16396, 1.87
86, 14882, 1.32
87, 14680, 1.22
88, 7129, -0.74
89, 12582, 0.62
90, 14023, 1.20
91, 20007, 2.98
92, 19644, 2.46
93, 13310, 0.59
94, 17271, 1.56
95, 3840, -1.80
96, 6677, -1.06
97, 4300, -1.60
98, 8387, -0.55
99, 1776, -2.06
100, 3185, -1.59
101, 22561, 2.50
102, 14324, 0.65
103, 7590, -0.66
104, 17485, 1.20
105, 15382, 0.74
106, 9585, -0.35
107, 21918, 1.91
108, 17046, 0.90
109, 21320, 1.61
110, 21372, 1.49
111, 21376, 1.41
112, 12965, -0.07
113, 17549, 0.67
